gsis_id,nflverse_name,position,team,espn_id,weekly_rows,root_cause,candidate_count,canonical_id,canonical_name,canonical_sleeper_id,canonical_meta_gsis_id,canonical_meta_espn_id,canonical_team,canonical_position,confidence_tier,approval_reason,nflverse_birth_date,canonical_birth_date,nflverse_college,canonical_college,nflverse_height,canonical_height,nflverse_weight,canonical_weight,nflverse_rookie_season,canonical_rookie_year,nflverse_draft_year,nflverse_draft_round,nflverse_draft_pick,strong_matches,medium_matches,contradictions,nflverse_birth_date_raw,nflverse_college_raw,nflverse_suffix
00-0037545,Rashid Shaheed,WR,SEA,4032473,18,canonical_gsis_missing,1,b34b7166-3905-4cf5-964f-c79068632e27,Rashid Shaheed,8676,,,SEA,WR,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",1998-08-31,1998-08-31,Weber State,Weber State,72,72,180,180,2022,2022,,,,birth_date,college|height|weight|rookie_year,,1998-08-31,Weber State,
00-0036912,DeVonta Smith,WR,PHI,4241478,17,canonical_gsis_missing,1,c20ab5c3-4b48-499f-9627-ce3a16eb1556,DeVonta Smith,7525,,,PHI,WR,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",1998-11-14,1998-11-14,Alabama,Alabama,72,72,170,170,2021,2021,2021,1,10,birth_date,college|height|weight|rookie_year,,1998-11-14,Alabama,
00-0036919,Kenneth Gainwell,RB,TB,4371733,17,canonical_gsis_missing,1,b4d2ed26-10a6-4efc-b0f7-4ce9b44134a2,Kenneth Gainwell,7567,,,TB,RB,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",1999-03-14,1999-03-14,Memphis,Memphis,69,69,200,200,2021,2021,2021,5,150,birth_date,college|height|weight|rookie_year,,1999-03-14,Memphis,
00-0036963,Amon-Ra St. Brown,WR,DET,4374302,17,canonical_gsis_missing,1,522721fc-c89e-4eeb-b69f-45a9c8f0ba45,Amon-Ra St. Brown,7547,,,DET,WR,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",1999-10-24,1999-10-24,USC,USC,72,72,202,202,2021,2021,2021,4,112,birth_date,college|height|weight|rookie_year,,1999-10-24,USC,
00-0036970,Kyle Pitts,TE,ATL,4360248,17,canonical_gsis_missing,1,1704535f-e8b7-45ff-9d2c-80ce9b9d0c26,Kyle Pitts,7553,,,ATL,TE,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",2000-10-06,2000-10-06,Florida,Florida,78,78,250,250,2021,2021,2021,1,4,birth_date,college|height|weight|rookie_year,,2000-10-06,Florida,
00-0036971,Trevor Lawrence,QB,JAX,4360310,17,canonical_gsis_missing,1,73084804-7000-479d-b952-2aaad5c0cc4b,Trevor Lawrence,7523,,,JAX,QB,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",1999-10-06,1999-10-06,Clemson,Clemson,78,78,220,220,2021,2021,2021,1,1,birth_date,college|height|weight|rookie_year,,1999-10-06,Clemson,
00-0036973,Travis Etienne,RB,NO,4239996,17,canonical_gsis_missing,1,44b71fa4-11f8-43a3-8a48-17c541f8e741,Travis Etienne,7543,,,NO,RB,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",1999-01-26,1999-01-26,Clemson,Clemson,70,70,215,215,2021,2021,2021,1,25,birth_date,college|height|weight|rookie_year,,1999-01-26,Clemson,
00-0037240,Jameson Williams,WR,DET,4426388,17,canonical_gsis_missing,1,15a53aca-29f0-4589-a881-105c8206807f,Jameson Williams,8148,,,DET,WR,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",2001-03-26,2001-03-26,Alabama; Ohio State,Alabama,73,73,180,182,2022,2022,2022,1,12,birth_date,college|height|weight|rookie_year,,2001-03-26,Alabama; Ohio State,
00-0037247,George Pickens,WR,DAL,4426354,17,canonical_gsis_missing,1,0628e2bf-b1cd-4150-9a39-3393e0ff46d4,George Pickens,8137,,,DAL,WR,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",2001-03-04,2001-03-04,Georgia,Georgia,75,75,200,200,2022,2022,2022,2,52,birth_date,college|height|weight|rookie_year,,2001-03-04,Georgia,
00-0037248,James Cook,RB,BUF,4379399,17,canonical_gsis_missing,1,33216b5d-be90-46b8-8702-902203840918,James Cook,8138,,,BUF,RB,auto_approved,"matches: birth_date(strong), college(medium), height(medium), weight(medium), rookie_year(medium)",1999-09-25,1999-09-25,Georgia,Georgia,71,71,190,190,2022,2022,2022,2,63,birth_date,college|height|weight|rookie_year,,1999-09-25,Georgia,
